PA_RANK,Rank,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,HR_per_PA,RBI_per_PA,R_per_PA,WAR_per_PA
11,7,Vladimir Guerrero Jr.,TOR,159,686,35,94,107,6,10.4%,13.4%,0.238,0.312,0.307,0.383,0.545,0.394,162,-1.1,47.9,-11.6,6.1,0.05102040816326531,0.15597667638483964,0.13702623906705538,0.008892128279883381
12,9,Mookie Betts,LAD,157,679,27,92,90,15,11.1%,14.1%,0.204,0.282,0.272,0.358,0.476,0.359,133,-0.1,26.7,5.9,5.7,0.039764359351988215,0.1325478645066274,0.13549337260677466,0.008394698085419735
13,11,Austin Riley,ATL,157,679,37,91,107,2,8.2%,23.8%,0.245,0.32,0.28,0.346,0.525,0.37,137,-1.2,29.3,2.4,5.6,0.054491899852724596,0.15758468335787923,0.13402061855670103,0.008247422680412371
14,16,William Contreras,MIL,156,626,26,80,84,7,10.5%,21.1%,0.203,0.317,0.276,0.355,0.479,0.359,131,-0.7,22.3,6.0,5.1,0.04153354632587859,0.134185303514377,0.12779552715654952,0.008146964856230031
15,23,Carlos Correa,MIN,131,567,22,73,74,2,10.3%,19.2%,0.196,0.308,0.275,0.353,0.47,0.355,134,-1.2,20.8,4.6,4.6,0.03880070546737213,0.13051146384479717,0.12874779541446207,0.008112874779541446
16,12,Fernando Tatis Jr.,SDP,157,679,39,91,111,22,8.6%,21.5%,0.253,0.307,0.28,0.347,0.533,0.373,144,1.2,37.3,-7.5,5.4,0.05743740795287187,0.1634756995581738,0.13402061855670103,0.007952871870397645
17,22,Cal Raleigh,SEA,146,581,32,70,87,4,9.9%,27.1%,0.234,0.272,0.236,0.315,0.469,0.336,126,-0.8,16.7,8.9,4.6,0.055077452667814115,0.14974182444061962,0.12048192771084337,0.007917383820998278
18,14,Rafael Devers,BOS,157,679,32,92,102,5,9.8%,21.3%,0.229,0.311,0.275,0.352,0.504,0.366,135,-1.0,26.3,1.4,5.2,0.047128129602356406,0.15022091310751104,0.13549337260677466,0.007658321060382917
19,15,José Ramírez,CLE,156,672,27,89,92,34,9.3%,12.3%,0.206,0.271,0.269,0.339,0.475,0.349,130,2.0,25.3,1.8,5.1,0.04017857142857143,0.13690476190476192,0.1324404761904762,0.007589285714285713
20,17,Kyle Tucker,CHC,156,672,30,95,95,24,12.1%,14.7%,0.222,0.287,0.278,0.365,0.5,0.37,141,1.8,35.0,-8.6,5.0,0.044642857142857144,0.14136904761904762,0.14136904761904762,0.00744047619047619
21,19,Elly De La Cruz,CIN,156,672,32,103,96,55,8.5%,30.9%,0.236,0.335,0.258,0.324,0.494,0.348,118,4.7,18.8,7.0,5.0,0.047619047619047616,0.14285714285714285,0.15327380952380953,0.00744047619047619
22,36,Brandon Lowe,TBR,125,539,27,70,77,7,9.7%,24.9%,0.225,0.29,0.25,0.331,0.475,0.346,131,-0.2,19.0,1.5,4.0,0.05009276437847866,0.14285714285714285,0.12987012987012986,0.0074211502782931356
23,41,Shea Langeliers,ATH,128,506,26,62,73,5,7.8%,26.9%,0.225,0.276,0.238,0.302,0.463,0.327,118,-0.5,9.8,9.6,3.7,0.05138339920948617,0.1442687747035573,0.1225296442687747,0.007312252964426878
24,71,Sean Murphy,ATL,109,429,19,52,57,1,10.0%,23.5%,0.206,0.277,0.241,0.332,0.447,0.338,116,-0.8,7.3,8.4,3.1,0.04428904428904429,0.13286713286713286,0.12121212121212122,0.0072261072261072265
25,20,Manny Machado,SDP,154,665,34,80,98,9,8.0%,19.0%,0.22,0.292,0.273,0.331,0.494,0.352,130,-0.6,23.5,1.0,4.8,0.05112781954887218,0.14736842105263157,0.12030075187969924,0.007218045112781955
26,69,Alejandro Kirk,TOR,110,436,10,50,43,1,10.2%,11.5%,0.134,0.288,0.271,0.35,0.405,0.331,118,-0.9,8.0,7.9,3.1,0.022935779816513763,0.09862385321100918,0.11467889908256881,0.0071100917431192664
27,56,Will Smith,LAD,125,494,17,61,58,2,10.0%,18.1%,0.176,0.274,0.249,0.337,0.425,0.332,115,-0.7,8.0,9.0,3.5,0.03441295546558704,0.11740890688259109,0.12348178137651822,0.00708502024291498
28,21,Francisco Lindor,NYM,159,686,28,84,89,24,8.7%,18.9%,0.195,0.278,0.254,0.328,0.449,0.335,119,0.8,16.3,7.1,4.8,0.04081632653061224,0.12973760932944606,0.12244897959183673,0.006997084548104956
